order_id,order_date,customer_id,product_id,product_name,category,region,sales_rep,quantity,unit_price,discount,revenue,profit
1001,2024-01-03,C001,P012,Wireless Keyboard,Electronics,North America,Alice Johnson,2,45.99,0.05,87.38,26.21
1002,2024-01-05,C002,P034,Office Chair,Furniture,Europe,Bob Smith,1,249.00,0.10,224.10,67.23
1003,2024-01-07,C003,P005,Notebook Set,Stationery,Asia Pacific,Carol Lee,5,12.50,0.00,62.50,25.00
1004,2024-01-09,C004,P021,Laptop Stand,Electronics,North America,Alice Johnson,3,35.00,0.05,99.75,39.90
1005,2024-01-12,C005,P045,Desk Lamp,Furniture,Latin America,David Kim,2,29.99,0.00,59.98,21.59
1006,2024-01-14,C006,P012,Wireless Keyboard,Electronics,Europe,Bob Smith,4,45.99,0.10,165.56,49.67
1007,2024-01-16,C007,P067,Project Management Software,Software,North America,Eve Torres,1,199.00,0.15,169.15,135.32
1008,2024-01-18,C008,P034,Office Chair,Furniture,Asia Pacific,Frank Nguyen,2,249.00,0.05,473.10,141.93
1009,2024-01-21,C009,P078,USB-C Hub,Electronics,Europe,Bob Smith,6,22.50,0.00,135.00,54.00
1010,2024-01-23,C010,P005,Notebook Set,Stationery,North America,Alice Johnson,10,12.50,0.10,112.50,45.00
1011,2024-01-25,C001,P067,Project Management Software,Software,North America,Eve Torres,1,199.00,0.15,169.15,135.32
1012,2024-01-28,C011,P021,Laptop Stand,Electronics,Latin America,David Kim,2,35.00,0.00,70.00,28.00
1013,2024-02-01,C012,P089,Standing Desk,Furniture,North America,Alice Johnson,1,599.00,0.10,539.10,161.73
1014,2024-02-03,C013,P012,Wireless Keyboard,Electronics,Asia Pacific,Frank Nguyen,3,45.99,0.05,131.07,39.32
1015,2024-02-05,C014,P056,CRM Software,Software,Europe,Bob Smith,1,299.00,0.20,239.20,191.36
1016,2024-02-07,C015,P034,Office Chair,Furniture,North America,Alice Johnson,4,249.00,0.10,896.40,268.92
1017,2024-02-10,C016,P078,USB-C Hub,Electronics,Latin America,David Kim,5,22.50,0.05,106.88,42.75
1018,2024-02-12,C017,P089,Standing Desk,Furniture,Europe,Bob Smith,2,599.00,0.15,1018.30,305.49
1019,2024-02-14,C018,P005,Notebook Set,Stationery,Asia Pacific,Carol Lee,20,12.50,0.10,225.00,90.00
1020,2024-02-17,C019,P067,Project Management Software,Software,North America,Eve Torres,3,199.00,0.15,507.45,405.96
1021,2024-02-19,C020,P045,Desk Lamp,Furniture,Europe,Bob Smith,3,29.99,0.00,89.97,32.39
1022,2024-02-21,C021,P021,Laptop Stand,Electronics,Asia Pacific,Frank Nguyen,4,35.00,0.05,133.00,53.20
1023,2024-02-23,C022,P056,CRM Software,Software,Latin America,David Kim,1,299.00,0.00,299.00,239.20
1024,2024-02-26,C023,P012,Wireless Keyboard,Electronics,North America,Alice Johnson,7,45.99,0.10,289.74,86.92
1025,2024-02-28,C024,P089,Standing Desk,Furniture,Asia Pacific,Carol Lee,1,599.00,0.05,569.05,170.72
1026,2024-03-02,C025,P078,USB-C Hub,Electronics,Europe,Bob Smith,8,22.50,0.10,162.00,64.80
1027,2024-03-04,C026,P067,Project Management Software,Software,North America,Eve Torres,2,199.00,0.15,338.30,270.64
1028,2024-03-06,C027,P034,Office Chair,Furniture,Latin America,David Kim,3,249.00,0.05,709.65,212.90
1029,2024-03-09,C028,P005,Notebook Set,Stationery,Europe,Bob Smith,15,12.50,0.10,168.75,67.50
1030,2024-03-11,C029,P021,Laptop Stand,Electronics,North America,Alice Johnson,5,35.00,0.05,166.25,66.50
1031,2024-03-13,C030,P056,CRM Software,Software,Asia Pacific,Frank Nguyen,2,299.00,0.20,478.40,382.72
1032,2024-03-15,C031,P045,Desk Lamp,Furniture,Europe,Bob Smith,6,29.99,0.00,179.94,64.78
1033,2024-03-18,C032,P089,Standing Desk,Furniture,North America,Alice Johnson,2,599.00,0.10,1078.20,323.46
1034,2024-03-20,C033,P012,Wireless Keyboard,Electronics,Latin America,David Kim,4,45.99,0.05,174.76,52.43
1035,2024-03-22,C034,P078,USB-C Hub,Electronics,Asia Pacific,Carol Lee,10,22.50,0.05,213.75,85.50
1036,2024-03-25,C035,P067,Project Management Software,Software,Europe,Bob Smith,1,199.00,0.15,169.15,135.32
1037,2024-03-27,C036,P034,Office Chair,Furniture,North America,Alice Johnson,2,249.00,0.10,448.20,134.46
1038,2024-03-29,C037,P005,Notebook Set,Stationery,Latin America,David Kim,8,12.50,0.00,100.00,40.00
1039,2024-04-01,C038,P021,Laptop Stand,Electronics,Europe,Bob Smith,3,35.00,0.05,99.75,39.90
1040,2024-04-03,C039,P056,CRM Software,Software,North America,Eve Torres,1,299.00,0.20,239.20,191.36
1041,2024-04-05,C040,P089,Standing Desk,Furniture,Asia Pacific,Frank Nguyen,1,599.00,0.10,539.10,161.73
1042,2024-04-08,C041,P012,Wireless Keyboard,Electronics,Europe,Bob Smith,5,45.99,0.10,206.96,62.09
1043,2024-04-10,C042,P045,Desk Lamp,Furniture,North America,Alice Johnson,4,29.99,0.00,119.96,43.19
1044,2024-04-12,C043,P078,USB-C Hub,Electronics,Latin America,David Kim,7,22.50,0.05,149.63,59.85
1045,2024-04-14,C044,P067,Project Management Software,Software,Asia Pacific,Carol Lee,2,199.00,0.15,338.30,270.64
1046,2024-04-17,C045,P034,Office Chair,Furniture,Europe,Bob Smith,1,249.00,0.10,224.10,67.23
1047,2024-04-19,C046,P005,Notebook Set,Stationery,North America,Alice Johnson,12,12.50,0.10,135.00,54.00
1048,2024-04-21,C047,P021,Laptop Stand,Electronics,Asia Pacific,Frank Nguyen,6,35.00,0.05,199.50,79.80
1049,2024-04-23,C048,P056,CRM Software,Software,Europe,Bob Smith,1,299.00,0.00,299.00,239.20
1050,2024-04-26,C049,P089,Standing Desk,Furniture,Latin America,David Kim,2,599.00,0.15,1018.30,305.49
1051,2024-05-01,C050,P012,Wireless Keyboard,Electronics,North America,Alice Johnson,3,45.99,0.05,131.07,39.32
1052,2024-05-03,C051,P078,USB-C Hub,Electronics,Europe,Bob Smith,9,22.50,0.10,182.25,72.90
1053,2024-05-06,C052,P067,Project Management Software,Software,North America,Eve Torres,2,199.00,0.15,338.30,270.64
1054,2024-05-08,C053,P034,Office Chair,Furniture,Asia Pacific,Carol Lee,3,249.00,0.10,672.30,201.69
1055,2024-05-10,C054,P005,Notebook Set,Stationery,Latin America,David Kim,6,12.50,0.00,75.00,30.00
1056,2024-05-13,C055,P021,Laptop Stand,Electronics,Europe,Bob Smith,4,35.00,0.05,133.00,53.20
1057,2024-05-15,C056,P045,Desk Lamp,Furniture,North America,Alice Johnson,5,29.99,0.00,149.95,53.98
1058,2024-05-17,C057,P089,Standing Desk,Furniture,Asia Pacific,Frank Nguyen,1,599.00,0.10,539.10,161.73
1059,2024-05-19,C058,P056,CRM Software,Software,Europe,Bob Smith,2,299.00,0.20,478.40,382.72
1060,2024-05-22,C059,P012,Wireless Keyboard,Electronics,Latin America,David Kim,6,45.99,0.10,248.35,74.51
1061,2024-05-24,C060,P078,USB-C Hub,Electronics,North America,Alice Johnson,11,22.50,0.05,234.98,94.00
1062,2024-05-27,C061,P067,Project Management Software,Software,Asia Pacific,Carol Lee,1,199.00,0.15,169.15,135.32
1063,2024-05-29,C062,P034,Office Chair,Furniture,Latin America,David Kim,2,249.00,0.05,473.10,141.93
1064,2024-06-01,C063,P021,Laptop Stand,Electronics,Europe,Bob Smith,5,35.00,0.00,175.00,70.00
1065,2024-06-03,C064,P005,Notebook Set,Stationery,North America,Alice Johnson,18,12.50,0.10,202.50,81.00
1066,2024-06-05,C065,P056,CRM Software,Software,Asia Pacific,Frank Nguyen,1,299.00,0.20,239.20,191.36
1067,2024-06-08,C066,P089,Standing Desk,Furniture,Europe,Bob Smith,3,599.00,0.15,1527.45,458.24
1068,2024-06-10,C067,P045,Desk Lamp,Furniture,Latin America,David Kim,7,29.99,0.00,209.93,75.57
1069,2024-06-12,C068,P012,Wireless Keyboard,Electronics,North America,Alice Johnson,8,45.99,0.10,331.13,99.34
1070,2024-06-15,C069,P078,USB-C Hub,Electronics,Asia Pacific,Carol Lee,12,22.50,0.05,256.50,102.60
1071,2024-06-17,C070,P067,Project Management Software,Software,Europe,Bob Smith,2,199.00,0.15,338.30,270.64
1072,2024-06-19,C071,P034,Office Chair,Furniture,North America,Eve Torres,4,249.00,0.10,896.40,268.92
1073,2024-06-22,C072,P021,Laptop Stand,Electronics,Latin America,David Kim,3,35.00,0.05,99.75,39.90
1074,2024-06-24,C073,P005,Notebook Set,Stationery,Asia Pacific,Frank Nguyen,25,12.50,0.10,281.25,112.50
1075,2024-06-26,C074,P056,CRM Software,Software,North America,Eve Torres,3,299.00,0.20,717.60,574.08
1076,2024-07-01,C075,P089,Standing Desk,Furniture,Europe,Bob Smith,2,599.00,0.10,1078.20,323.46
1077,2024-07-03,C076,P012,Wireless Keyboard,Electronics,Asia Pacific,Carol Lee,5,45.99,0.05,218.45,65.54
1078,2024-07-06,C077,P078,USB-C Hub,Electronics,Latin America,David Kim,8,22.50,0.00,180.00,72.00
1079,2024-07-08,C078,P045,Desk Lamp,Furniture,North America,Alice Johnson,3,29.99,0.00,89.97,32.39
1080,2024-07-10,C079,P067,Project Management Software,Software,Europe,Bob Smith,1,199.00,0.15,169.15,135.32
1081,2024-07-13,C080,P034,Office Chair,Furniture,Asia Pacific,Frank Nguyen,5,249.00,0.10,1120.50,336.15
1082,2024-07-15,C081,P021,Laptop Stand,Electronics,North America,Alice Johnson,7,35.00,0.05,232.75,93.10
1083,2024-07-17,C082,P056,CRM Software,Software,Latin America,David Kim,2,299.00,0.00,598.00,478.40
1084,2024-07-19,C083,P005,Notebook Set,Stationery,Europe,Bob Smith,14,12.50,0.10,157.50,63.00
1085,2024-07-22,C084,P089,Standing Desk,Furniture,North America,Alice Johnson,3,599.00,0.10,1617.30,485.19
1086,2024-07-24,C085,P012,Wireless Keyboard,Electronics,Asia Pacific,Carol Lee,6,45.99,0.05,262.14,78.64
1087,2024-07-26,C086,P078,USB-C Hub,Electronics,Europe,Bob Smith,10,22.50,0.10,202.50,81.00
1088,2024-07-29,C087,P067,Project Management Software,Software,North America,Eve Torres,3,199.00,0.15,507.45,405.96
1089,2024-07-31,C088,P034,Office Chair,Furniture,Latin America,David Kim,2,249.00,0.05,473.10,141.93
1090,2024-08-02,C089,P021,Laptop Stand,Electronics,Asia Pacific,Frank Nguyen,4,35.00,0.05,133.00,53.20
1091,2024-08-05,C090,P045,Desk Lamp,Furniture,Europe,Bob Smith,8,29.99,0.00,239.92,86.37
1092,2024-08-07,C091,P056,CRM Software,Software,North America,Eve Torres,1,299.00,0.20,239.20,191.36
1093,2024-08-09,C092,P005,Notebook Set,Stationery,Latin America,David Kim,9,12.50,0.00,112.50,45.00
1094,2024-08-12,C093,P089,Standing Desk,Furniture,Asia Pacific,Carol Lee,2,599.00,0.15,1018.30,305.49
1095,2024-08-14,C094,P012,Wireless Keyboard,Electronics,Europe,Bob Smith,7,45.99,0.10,289.74,86.92
1096,2024-08-16,C095,P078,USB-C Hub,Electronics,North America,Alice Johnson,13,22.50,0.05,277.88,111.15
1097,2024-08-18,C096,P067,Project Management Software,Software,Asia Pacific,Frank Nguyen,2,199.00,0.15,338.30,270.64
1098,2024-08-21,C097,P034,Office Chair,Furniture,Latin America,David Kim,1,249.00,0.05,236.55,70.97
1099,2024-08-23,C098,P021,Laptop Stand,Electronics,Europe,Bob Smith,5,35.00,0.00,175.00,70.00
1100,2024-08-26,C099,P056,CRM Software,Software,North America,Eve Torres,2,299.00,0.20,478.40,382.72
